loan_id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,delinq_2yrs,fico_range_low,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_rec_prncp,total_rec_int,last_pymnt_amnt,mort_acc,pub_rec_bankruptcies,fico_range_high,loan_status
LC100000,15607,36,20.18,482.01,D,A3,Technician,9 years,RENT,58012,Not Verified,2018-07-31,other,PA,12.55,0,735,1,,20,0,12902,14.0,19,45171.26,14091.52,2358.28,339.23,0,0,739,Charged Off
LC100001,38077,60,16.06,1148.93,E,F1,Driver,8 years,RENT,66963,Source Verified,2018-07-31,major_purchase,OTHER,26.06,0,725,0,47.0,13,0,12239,67.0,13,34931.21,18525.68,8409.41,586.66,0,0,729,Fully Paid
LC100002,29547,36,27.68,1392.3,C,C2,Engineer,n/a,RENT,91482,Not Verified,2020-12-31,car,FL,8.16,0,765,4,52.0,23,0,15556,70.7,54,7837.12,34760.17,12511.43,917.15,2,0,769,Fully Paid
LC100003,24347,36,10.54,1181.84,B,D5,Analyst,10+ years,MORTGAGE,50625,Not Verified,2021-10-31,debt_consolidation,PA,10.38,0,680,2,81.0,30,0,2337,38.4,39,45806.3,11521.64,2108.23,1308.05,0,0,684,Fully Paid
LC100004,7084,36,19.02,504.22,B,E2,Technician,7 years,RENT,94349,Verified,2020-11-30,major_purchase,NC,42.51,0,720,0,,14,0,2406,32.5,12,5532.74,30145.14,12397.76,42.49,1,0,724,Fully Paid
LC100005,7083,36,21.6,1004.42,D,C5,Manager,7 years,RENT,73370,Verified,2020-02-29,small_business,CA,44.6,0,815,2,,2,0,5568,28.0,37,16427.5,9930.65,4666.68,256.28,3,0,819,Fully Paid
LC100006,3265,36,24.49,761.48,C,C4,Sales,9 years,MORTGAGE,30791,Not Verified,2020-03-31,debt_consolidation,AZ,37.54,0,830,1,66.0,17,0,33537,27.1,29,6662.65,37196.11,991.96,1230.39,0,1,834,Fully Paid
LC100007,34780,36,14.86,1107.53,C,B4,Director,5 years,RENT,50279,Source Verified,2019-11-30,debt_consolidation,MA,43.42,0,765,1,73.0,20,0,3988,69.1,36,22542.22,29023.41,4473.55,757.35,0,1,769,Charged Off
LC100008,24443,36,21.3,239.74,B,E3,Teacher,8 years,OWN,68223,Not Verified,2021-05-31,debt_consolidation,VA,30.72,0,830,0,29.0,3,0,9311,23.3,17,11376.04,29925.2,9612.12,840.86,4,0,834,Fully Paid
LC100009,28614,36,12.47,904.24,E,C3,Nurse,10+ years,RENT,72371,Verified,2023-04-30,debt_consolidation,IL,1.96,0,830,2,,16,0,4708,59.7,58,14275.98,29731.32,1528.63,1533.8,5,0,834,Fully Paid
